primary	secondary
female_albumin_log	male_albumin_log
female_premenopause_ordinal_albumin_log	male_albumin_log
female_perimenopause_ordinal_albumin_log	male_albumin_log
female_postmenopause_ordinal_albumin_log	male_albumin_log
female_premenopause_ordinal_albumin_log	male_young_albumin_log
female_postmenopause_ordinal_albumin_log	male_old_albumin_log
female_steroid_globulin_log	male_steroid_globulin_log
female_premenopause_ordinal_steroid_globulin_log	male_steroid_globulin_log
female_perimenopause_ordinal_steroid_globulin_log	male_steroid_globulin_log
female_postmenopause_ordinal_steroid_globulin_log	male_steroid_globulin_log
female_premenopause_ordinal_steroid_globulin_log	male_young_steroid_globulin_log
female_postmenopause_ordinal_steroid_globulin_log	male_old_steroid_globulin_log
female_oestradiol_log	male_oestradiol_log
female_premenopause_ordinal_oestradiol_log	male_oestradiol_log
female_perimenopause_ordinal_oestradiol_log	male_oestradiol_log
female_postmenopause_ordinal_oestradiol_log	male_oestradiol_log
female_premenopause_ordinal_oestradiol_log	male_young_oestradiol_log
female_postmenopause_ordinal_oestradiol_log	male_old_oestradiol_log
female_testosterone_log	male_testosterone_log
female_premenopause_ordinal_testosterone_log	male_testosterone_log
female_perimenopause_ordinal_testosterone_log	male_testosterone_log
female_postmenopause_ordinal_testosterone_log	male_testosterone_log
female_premenopause_ordinal_testosterone_log	male_young_testosterone_log
female_postmenopause_ordinal_testosterone_log	male_old_testosterone_log
female_vitamin_d_log	male_vitamin_d_log
female_premenopause_ordinal_vitamin_d_log	male_vitamin_d_log
female_perimenopause_ordinal_vitamin_d_log	male_vitamin_d_log
female_postmenopause_ordinal_vitamin_d_log	male_vitamin_d_log
female_premenopause_ordinal_vitamin_d_log	male_young_vitamin_d_log
female_postmenopause_ordinal_vitamin_d_log	male_old_vitamin_d_log
female_premenopause_ordinal_oestradiol_log	female_postmenopause_ordinal_oestradiol_log
female_premenopause_ordinal_testosterone_log	female_postmenopause_ordinal_testosterone_log
male_young_oestradiol_log	male_old_oestradiol_log
male_young_testosterone_log	male_old_testosterone_log
